"title","author","description","thumbnailURL","categories","mediaURL"
"Intro to Mobile App Design with Sketch 3","5aefb8879036811bc0eb1693","Join Product Designer Andrew Mercando for this 60-minute, essential class on mobile app design","https://static.skillshare.com/uploads/video/thumbnails/507f03db65fe9819672cc93e749ec083/448-252","design software","https://f1.media.brightcove.com/12/3695997568001/3695997568001_4499082685001_4499058045001.mp4?pubId=3695997568001&videoId=4499058045001"
"Mastering Logo Design: Gridding with the Golden Ratio","5aefb8879036811bc0eb1693","Uncover the secret to designing a perfect logo with this new class from George Bokhua, the legendary graphic designer","https://static.skillshare.com/uploads/video/thumbnails/4c558c273a7d8b8ad49812fb6d05c991/448-252","design art","https://f1.media.brightcove.com/12/3695997568001/3695997568001_5374145712001_5374102487001.mp4?pubId=3695997568001&videoId=5374102487001"
"Learn Photoshop CC 2018: Fundamentals for Getting Started","5aefb8879036811bc0eb1693","Visual communication is more important than ever—learn Photoshop to unlock unlimited potential in your art, career, and more!","https://static.skillshare.com/uploads/video/thumbnails/8ddbe3e3237ed582941cf85e50893b3e/448-252","design photoshop","https://f1.media.brightcove.com/12/3695997568001/3695997568001_5775287219001_5775282603001.mp4?pubId=3695997568001&videoId=5775282603001"
"Create Experimental Gradients and Posters","5aefb8879036811bc0eb1693","In this class you are going to learn how to create gradients in Illustrator and shape them in Photoshop.","https://static.skillshare.com/uploads/video/thumbnails/179eff3093142171f6ec10ae3a1927dc/448-252","design illustrator photoshop","https://f1.media.brightcove.com/12/3695997568001/3695997568001_5151095494001_5151088040001.mp4?pubId=3695997568001&videoId=5151088040001"
"Logotype Masterclass with Jessica Hische","5aefb8879036811bc0eb1693","Take your logos from good to great in this in-depth logotype masterclass with award-winning designer and letterer, Jessica Hische!","https://static.skillshare.com/uploads/video/thumbnails/36ca13edda7bf7a1f43483189919ccf1/448-252","design logo","https://f1.media.brightcove.com/12/3695997568001/3695997568001_5714548944001_5714539263001.mp4?pubId=3695997568001&videoId=5714539263001"
"Graphic Design Basics: Core Principles for Visual Design","5aefb8879036811bc0eb1693","Great graphic design comes from understanding just a few basic principles","https://static.skillshare.com/uploads/video/thumbnails/d97b8f5a65b8c1955b6215dd0e3fffb8/448-252","design","https://f1.media.brightcove.com/12/3695997568001/3695997568001_5149990974001_5149979708001.mp4?pubId=3695997568001&videoId=5149979708001"
"1930's Character Design: Illustrate iconic characters","5aefb8879036811bc0eb1693","In this class I will be teaching you how to create an original character in the style of 1930s cartoons. If you are not familiar with this style, think early Mickey Mouse, Popeye, Betty Boop, etc.","https://static.skillshare.com/uploads/video/thumbnails/7943803cd2c7c2a7a924a47f6892efcb/448-252","design art","https://f1.media.brightcove.com/12/3695997568001/3695997568001_5749470674001_5749460908001.mp4?pubId=3695997568001&videoId=5749460908001"
"Turn your Drawings into Animations in Procreate","5aefb8879036811bc0eb1693","Procreate is a fantastic app to create digital art on your iPad, but do you know that you can also use it for animations?","https://static.skillshare.com/uploads/video/thumbnails/b7199f2899343b0bc97c573b2e19edcf/448-252","design animation","https://f1.media.brightcove.com/12/3695997568001/3695997568001_5778661595001_5778653905001.mp4?pubId=3695997568001&videoId=5778653905001"
"HTML + CSS - HOW TO BUILD A WEBSITE","5aefb8879036811bc0eb1693","In this class, we will be building a portfolio website from scratch, no previous coding knowledge required!","https://static.skillshare.com/uploads/video/thumbnails/819a52fa4e4a08a860a15c65a403425b/448-252","software web","https://f1.media.brightcove.com/12/3695997568001/3695997568001_5755016675001_5754779581001.mp4?pubId=3695997568001&videoId=5754779581001"
"Introduction to HTML: Build a Portfolio Website","5aefb8879036811bc0eb1693","The first step to getting your website up and running is learning HTML","https://static.skillshare.com/uploads/video/thumbnails/3756567136001/448-252","software web","https://f1.media.brightcove.com/12/3695997568001/3695997568001_3927504460001_video90EO8n.mp4?pubId=3695997568001&videoId=3756567136001"
